id,guest_id,cabin_id,booking_date,startDate,endDate,status,totalPrice,numGuests,numNights,created_at
Wind.,bdd11da5-0003-4300-9aac-cde3cb56bc2e,72,2023-03-08 05:06:15,2022-07-14,2024-06-05,unconfirmed,3976.08,2,21,2022-11-24 21:31:11
Season.,fb682ec2-b83f-4c23-b261-4ad74527e548,70,2022-07-27 14:28:55,2024-01-09,2021-01-09,unconfirmed,4442.3,10,4,2023-11-21 17:53:38
Indicate.,6774a254-d816-4e59-8275-b278ceed7762,76,2020-07-17 03:45:07,2020-10-31,2020-11-16,unconfirmed,5119.64,1,23,2022-03-04 16:06:37
Analysis.,e0c786f2-7ded-4613-a7e9-5177e058ab4b,99,2021-02-20 11:20:48,2023-01-21,2020-09-19,unconfirmed,916.09,9,25,2022-10-04 09:36:23
Name boy.,422a0c47-3860-4964-aebc-788f623d8082,61,2024-04-23 06:18:36,2023-04-19,2024-02-27,unconfirmed,3517.29,1,20,2020-10-10 16:55:38
Catch.,5b26ba8e-0da3-49dc-82b5-d2a50b2158b1,51,2022-03-31 20:19:33,2022-12-06,2020-04-03,checked-out,8870.49,3,17,2020-09-30 07:39:44
Wide.,45ebee7f-d043-4bcb-a275-763aee4837e1,23,2022-11-26 23:16:16,2020-09-10,2020-03-06,unconfirmed,2064.27,6,19,2021-08-21 00:50:48
Such.,a54a212b-1996-43d4-a105-bb48b256edaf,39,2022-12-28 11:15:50,2021-09-16,2021-01-12,checked-out,4397.98,4,30,2021-09-23 14:50:49
Economic.,98a7fbad-9699-4c82-853f-b822a22af9c1,40,2020-01-13 05:55:30,2021-03-04,2020-10-29,checked-out,2319.1,7,30,2020-11-24 11:02:09
Usually.,2b84db95-4e71-4276-83d5-baa97df486d5,92,2020-10-10 05:51:52,2020-12-01,2022-08-09,checked-out,8085.48,5,23,2023-06-19 08:05:20
Data fear.,14eb3d75-3539-4843-a39b-8a845cd9e752,99,2022-07-26 13:54:55,2022-05-21,2023-07-28,unconfirmed,6353.77,8,16,2022-02-18 10:28:50
To figure.,6c0388b7-3c32-450d-ab77-a61845a5e4bb,62,2022-07-21 06:43:15,2023-02-22,2020-07-05,checked-in,5540.52,3,18,2022-11-29 05:37:58
Young.,0b813510-0202-48cd-b4ad-00e4f50cbd26,52,2023-09-09 04:36:05,2022-01-17,2021-12-22,unconfirmed,776.15,4,10,2022-09-25 15:48:04
Win image.,3398b030-e254-426d-bf69-99b7e3fa5034,50,2023-10-17 23:07:49,2020-08-17,2024-03-16,unconfirmed,3697.23,2,8,2024-08-07 05:23:56
President.,1cc564a7-18f0-4b70-a696-b2d24bca3db8,1,2020-11-07 19:12:33,2021-08-22,2020-10-31,checked-in,8365.72,3,9,2022-04-30 02:17:23
Heart.,fc141996-a7db-4834-b562-5087c1fcd80a,76,2021-07-31 19:29:20,2020-02-08,2023-05-13,checked-in,6057.43,7,3,2023-01-11 21:24:18
Century.,1df118cd-ea2b-4167-baf3-85b6225625bd,12,2023-06-05 11:29:54,2020-06-01,2020-03-14,checked-out,5639.43,1,19,2020-10-31 10:41:02
Second.,39ee14d1-91b1-478b-82b9-fa80f7a9fd88,60,2020-02-11 18:07:33,2022-07-25,2021-07-13,checked-in,5572.56,2,1,2022-08-28 09:44:26
Three fly.,2a8ae189-9847-46db-99c2-8f30a28e6183,46,2022-07-24 06:07:16,2022-12-15,2021-11-02,checked-out,1858.92,3,17,2022-01-16 14:48:31
Until.,0cd6d364-9ed4-4ab5-8193-644c27ed76ad,52,2021-07-25 04:51:16,2022-06-05,2020-01-26,unconfirmed,2198.96,8,27,2020-02-14 18:53:10
Against.,6b742ed8-3c14-4991-ac2e-a44e55c50857,5,2022-06-07 18:20:18,2023-03-26,2021-09-21,checked-in,5542.17,4,26,2020-04-17 06:45:20
Western.,85ce5726-55f4-45dc-9f73-27f0d5feb9e4,81,2022-07-20 08:53:04,2021-06-09,2024-04-19,unconfirmed,9483.58,1,12,2023-04-26 14:56:12
Rich.,0ef72d15-26c5-4d0e-9405-5da05d7b002f,91,2022-01-29 00:12:09,2021-09-11,2020-09-02,checked-in,7399.19,10,8,2023-06-10 15:55:42
Their.,2a740ad0-02e1-4215-b0df-6dca0f09f8d5,40,2024-01-05 20:51:21,2021-12-28,2022-12-27,unconfirmed,2249.29,1,2,2020-11-11 06:09:33
Network.,db8b3a49-6c64-47b7-9fa0-edf98be6cf7b,23,2023-03-01 04:16:57,2020-08-17,2021-04-24,unconfirmed,1041.79,2,6,2023-12-15 01:19:03
Future.,5f29fd4f-ee25-484c-baa6-7699121932ce,7,2023-01-04 04:27:07,2022-07-06,2023-04-12,checked-out,7047.28,10,19,2024-01-08 10:38:27
Owner.,9a9ff17b-3d46-4832-ac55-8379299bf98b,14,2022-02-26 09:34:27,2021-03-05,2024-05-28,unconfirmed,9881.3,7,27,2023-01-26 09:34:38
Language.,16b0134d-6383-4c9d-9e9f-f859e47b47ab,94,2021-06-14 01:41:56,2021-10-16,2022-02-04,checked-in,6973.77,6,8,2021-11-26 12:14:31
Pressure.,9aa17c63-027d-4c6d-ba3b-87451543ef83,45,2020-10-09 02:06:41,2020-03-02,2023-01-19,checked-in,2702.16,1,6,2024-01-18 22:28:20
Pass do.,8bfcc342-a89e-4c1c-aabb-2e84dc1fa2f6,44,2020-09-05 09:47:47,2020-06-22,2021-03-05,unconfirmed,6812.37,10,28,2024-01-07 03:00:22
Last.,751470c7-a7ff-44f5-976d-6faa905df927,4,2024-07-04 06:24:27,2023-05-13,2020-12-08,checked-out,4033.43,4,29,2020-06-12 19:50:42
My hard.,d867a9d3-cea4-45b7-8d9b-37cf4d18f27e,10,2023-07-18 02:38:24,2022-01-28,2020-05-10,checked-out,9258.18,9,26,2020-07-30 02:27:27
Country.,ad40a1f3-7d46-4b9d-827b-09da5d55f0ee,63,2020-04-07 22:16:01,2021-01-24,2021-12-18,unconfirmed,8552.49,6,1,2022-05-20 22:55:09
Call.,66123d53-b05a-4717-b1c3-685b11e1d16b,90,2020-07-13 04:54:08,2021-06-02,2020-02-06,checked-in,5432.42,1,6,2023-03-20 13:42:46
Early.,49454b04-2002-4147-8763-5a4e8838b9f7,63,2023-08-11 03:19:22,2021-09-14,2020-11-09,checked-out,3245.3,6,23,2020-04-11 18:23:22
Available.,20b3ddbd-c947-4c5a-89db-74c22c730f27,51,2022-01-24 08:46:58,2024-04-18,2022-07-12,checked-out,6951.35,10,27,2023-06-25 09:06:12
Answer.,339f0616-f0e4-4097-98a0-5252900e953f,42,2023-07-06 14:41:46,2023-03-26,2022-02-17,unconfirmed,5092.58,8,19,2020-02-10 20:08:07
Off.,01fe5512-f936-48e0-9ffc-e08db6eefc60,7,2020-04-27 20:32:49,2021-01-13,2021-08-14,checked-in,2932.43,5,13,2020-06-24 10:13:48
